                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91412,                 3.3053,                 1.4332,                 0.0041,                      1,                0.26537,                0.17119,                0.70678,                 3.7077,                 1.4997,              0.0002222,              0.0002222,              0.0002222
                      2,                0.81131,                 2.6284,                 1.3059,                0.27863,                0.35474,                0.30359,                0.21733,                0.77107,                 3.0223,                 1.5903,               0.000451,               0.000451,               0.000451
                      3,                0.75831,                 2.2603,                 1.2613,                0.28416,                0.44526,                0.36805,                 0.2481,                   1.06,                 2.9505,                 1.8362,             0.00067518,             0.00067518,             0.00067518
                      4,                0.78436,                 2.0613,                 1.2778,                0.34173,                0.39197,                 0.4228,                0.27823,                 1.0477,                 3.2134,                 1.9075,             0.00089474,             0.00089474,             0.00089474
                      5,                0.80157,                 1.9491,                  1.256,                0.27299,                0.39826,                0.28798,                0.17769,                 1.2423,                  3.536,                 1.9756,               0.001067,               0.001067,               0.001067
                      6,                0.82271,                 1.8445,                 1.2801,                0.51122,                0.55598,                0.42941,                 0.2777,                 1.0098,                  4.416,                 1.9433,               0.001067,               0.001067,               0.001067
                      7,                0.75663,                 1.7322,                 1.2469,                0.61521,                0.47925,                0.56445,                0.30829,                 1.1129,                  2.707,                 1.8942,               0.001056,               0.001056,               0.001056
                      8,                0.79143,                 1.7693,                 1.2733,                0.70949,                0.54764,                0.65554,                0.45248,                 1.0227,                 2.2493,                 1.7315,               0.001045,               0.001045,               0.001045
                      9,                0.79787,                 1.6641,                 1.2723,                0.72524,                 0.4823,                0.60734,                0.42332,                 1.1903,                  2.073,                  1.902,               0.001034,               0.001034,               0.001034
                     10,                0.83722,                 1.6736,                 1.2986,                0.42353,                0.68841,                0.59214,                0.41463,                0.98422,                 2.3554,                 1.7353,               0.001023,               0.001023,               0.001023
                     11,                 0.7891,                 1.5257,                 1.2529,                 0.5481,                0.54158,                0.57526,                0.38527,                 1.0411,                 2.0393,                  1.774,               0.001012,               0.001012,               0.001012
                     12,                0.77607,                 1.5131,                 1.2533,                0.59771,                 0.6205,                 0.7164,                0.48177,                 1.1182,                 2.0403,                 1.8997,               0.001001,               0.001001,               0.001001
                     13,                0.75917,                 1.5112,                 1.2485,                0.60557,                0.66804,                0.63709,                0.46569,                0.93414,                 1.8847,                 1.6105,             0.00099001,             0.00099001,             0.00099001
                     14,                0.69882,                 1.3134,                 1.1802,                0.69352,                0.61175,                0.71665,                0.53291,                0.89656,                 1.9351,                 1.6182,             0.00097901,             0.00097901,             0.00097901
                     15,                0.72397,                  1.307,                  1.214,                 0.7817,                 0.7231,                0.81392,                 0.6378,                 0.8451,                 1.3178,                 1.4848,             0.00096801,             0.00096801,             0.00096801
                     16,                0.72895,                 1.2942,                 1.2042,                0.64456,                0.80297,                 0.8001,                0.62058,                 0.8349,                 1.4662,                 1.4959,             0.00095702,             0.00095702,             0.00095702
                     17,                0.68586,                 1.2329,                 1.1847,                0.69264,                0.76054,                0.78622,                0.59585,                0.81076,                 1.5366,                 1.4875,             0.00094602,             0.00094602,             0.00094602
